Country,Technology,Investment ($/kW),CAPEX std ($/MWh),O&M ($/MWh),OPEX std ($/MWh),Fuel ($/MWh),Fuel std ($/MWh)
United States,PHS,3832.543447560528,430.0078955019794,28.536653982061186,1.1514915948155116,0.33313727820496014,0.11453310247009577
United States,LiB,1115.5730122063435,151.0796672698356,11.781117633984529,1.025267307461761,0.333189933251385,0.11448103886622525
United States,CAES,1168.1861787647429,255.65404794843872,13.434134545964916,0.6799368923284348,0.3335085184061231,0.11416603218734475
China,PHS,966.8743808238122,27.036142448654473,31.034113503446346,0.8727868010312617,,
China,LiB,676.156086526457,72.55483692156136,12.228456131366258,3.9757361731362306,,
China,CAES,,,,,,
United Kingdom,PHS,1719.6636981079955,40.51236779968551,40.62475110998649,1.2936696085809003,,
United Kingdom,LiB,1070.2335545718604,144.29902223131037,10.793658275662246,1.2805146234406148,,
United Kingdom,CAES,1037.8363332906195,87.60419057934405,,,,
Brazil,PHS,,,,,,
Brazil,LiB,,,,,,
Brazil,CAES,,,,,,
