Country,Technology,1 Carbon Costs ($/MWh),2 std ($/MWh),3 Investment ($/MW),4 std ($/MW),5 Fuel ($/MWh),6 std ($/MWh),7 O&M ($/MWh),8 std ($/MWh),9 Lifetime (years),10 Lead Time (years),11 Decision Load Factor,12 Type (0;1;2;3),13 Efficiency (%),14 Resource (%),16 Learning exp,17 Discount Rate (%),21 Replacement Costs ($/kW),23 Cycle life (cycles),24 Depth of Discharge (%),25 End-of-life costs (%),26 Investment ($/MWh),27 std of Investment ($/MWh),28 O&M ($/MW-yr),29 std of O&M ($/MW-yr)
United Kingdom,LiB,0,0,1070.233555,153.3832589,210,0,11.78111763,0.988841275,10,0.8,0.85,1,0.85755,1,-0.45,0.1,61.07,6843,1,0.8,0.105901965,0.010788661,0.00033319,0.00019635
United Kingdom,PHS,0,0,1719.663698,40.35092443,210,0,40.62475111,1.251879638,38,4,0.85,1,0.66872,1,-0.019,0.1,146.6,21818,1,0.8,0.136909095,0.113526379,0.000333137,0.00019644
United Kingdom,CAES,0,0,1037.836333,120.6234015,210,0,3.356705888,2.014023533,26,2,0.85,1,0.55275,1,-0.1,0.1,122,18559,1,0.8,0.027519829,0.041419198,0.000333509,0.00019581
United States,LiB,0,0,1115.573012,160.3023656,109,0,11.78111763,0.988841275,10,0.8,0.85,1,0.85755,1,-0.45,0.1,61.07,6843,1,0.8,0.344944243,0.037794562,0.00033319,0.00019635
United States,PHS,0,0,3832.543448,440.8705208,109,0,28.53665398,1.195521805,38,4,0.85,1,0.66872,1,-0.019,0.1,146.6,21818,1,0.8,0.136772323,0.113412966,0.000333137,0.00019644
United States,CAES,0,0,1168.186179,265.0332903,109,0,13.43413455,1.166182389,26,2,0.85,1,0.55275,1,-0.1,0.1,122,18559,1,0.8,0.027602306,0.04137782,0.000333509,0.00019581
Brazil,LiB,0,0,1325.19355,82.03823167,99,0,11.78111763,0.988841275,10,0.8,0.85,1,0.85755,1,-0.45,0.1,61.07,6843,1,0.8,0.296417602,0.071498759,0.00033319,0.00019635
Brazil,PHS,0,0,966.8743808,26.78103369,99,0,31.0341135,0.848473202,38,4,0.85,1,0.66872,1,-0.019,0.1,146.6,21818,1,0.8,0.136909095,0.113526379,0.000333137,0.00019644
Brazil,CAES,0,0,466.1210038,53.48646536,99,0,3.356705888,2.147860097,26,2,0.85,1,0.55275,1,-0.1,0.1,122,18559,1,0.8,0.159525061,0.092127032,0.000333509,0.00019581
China,LiB,0,0,676.1560865,73.24500259,84,0,11.78111763,0.988841275,10,0.8,0.85,1,0.85755,1,-0.45,0.1,61.07,6843,1,0.8,0.296417602,0.071498759,0.00033319,0.00019635
China,PHS,0,0,966.8743808,26.78103369,84,0,31.0341135,0.848473202,38,4,0.85,1,0.66872,1,-0.019,0.1,146.6,21818,1,0.8,0.136909095,0.113526379,0.000333137,0.00019644
China,CAES,0,0,466.1210038,53.48646536,84,0,3.356705888,2.147860097,26,2,0.85,1,0.55275,1,-0.1,0.1,122,18559,1,0.8,0.159525061,0.092127032,0.000333509,0.00019581
