Country/region,Technology,Variable,Predicted Mean,Predicted StdDev
China,PHS,CAPEX,966.8743808238122,26.781033693087647
China,LiB,CAPEX,676.156086526457,73.24500258560627
United States,PHS,CAPEX,3832.543447560528,440.87052078522305
United States,LiB,CAPEX,1115.5730122063435,160.30236563886695
United States,CAES,CAPEX,1168.1861787647429,265.03329034401713
United Kingdom,PHS,CAPEX,1719.6636981079955,40.35092443194003
United Kingdom,LiB,CAPEX,1070.2335545718604,153.3832589175728
United Kingdom,CAES,CAPEX,1037.8363332906195,120.62340154450902
United States,PHS,CAPEX(energy),136.90909519840707,113.52637879116129
United States,LiB,CAPEX(energy),345.28918744474106,37.832356333429324
United States,CAES,CAPEX(energy),27.629907901086366,41.419197577610646
United Kingdom,LiB,CAPEX(energy),105.90196548254045,10.788660590222417
China,PHS,OPEX,31.034113503446346,0.8484732019875132
China,LiB,OPEX,11.781117633984529,0.9888412753612298
United States,PHS,OPEX,28.536653982061186,1.1955218046063645
United States,LiB,OPEX,11.781117633984529,0.9888412753612298
United States,CAES,OPEX,13.434134545964916,1.1661823888112002
United Kingdom,PHS,OPEX,40.62475110998649,1.2518796384629023
United Kingdom,LiB,OPEX,11.781117633984529,0.9888412753612298
United States,PHS,OPEX(energy),0.33313727820496014,0.19643953511499138
United States,LiB,OPEX(energy),0.333189933251385,0.1963502390955944
United States,CAES,OPEX(energy),0.3335085184061231,0.19580996065884693
Brazil,PHS,CAPEX,,
Brazil,PHS,OPEX,,
Brazil,PHS,CAPEX(energy),136.90909519840707,113.52637879116129
Brazil,PHS,OPEX(energy),0.33313727820496014,0.19643953511499138
Brazil,LiB,CAPEX,1325.1935495851963,82.03823167378279
Brazil,LiB,OPEX,11.781117633984529,0.9888412753612298
Brazil,LiB,CAPEX(energy),296.4176021163708,71.49875893906793
Brazil,LiB,OPEX(energy),0.333189933251385,0.1963502390955944
Brazil,CAES,CAPEX,466.1210038164509,53.486465363371096
Brazil,CAES,OPEX,3.3567058875290394,2.147860096935071
Brazil,CAES,CAPEX(energy),159.52506079088332,92.12703194353132
Brazil,CAES,OPEX(energy),0.001883139434564661,0.0005034492548041912
United Kingdom,PHS,CAPEX(energy),136.90909519840707,113.52637879116129
United Kingdom,PHS,OPEX(energy),0.33313727820496014,0.19643953511499138
United Kingdom,LiB,OPEX(energy),0.333189933251385,0.1963502390955944
United Kingdom,CAES,OPEX,3.3567058875290394,2.147860096935071
United Kingdom,CAES,CAPEX(energy),159.52506079088332,92.12703194353132
United Kingdom,CAES,OPEX(energy),0.001883139434564661,0.0005034492548041912
China,PHS,CAPEX(energy),136.90909519840707,113.52637879116129
China,PHS,OPEX(energy),0.33313727820496014,0.19643953511499138
China,LiB,CAPEX(energy),296.4176021163708,71.49875893906793
China,LiB,OPEX(energy),0.333189933251385,0.1963502390955944
China,CAES,CAPEX,466.1210038164509,53.486465363371096
China,CAES,OPEX,3.3567058875290394,2.147860096935071
China,CAES,CAPEX(energy),159.52506079088332,92.12703194353132
China,CAES,OPEX(energy),0.001883139434564661,0.0005034492548041912
